2023.05.19;18:03:16;AI Doktor;Bienvenido, está hablando con un médico especialista en inteligencia artificial. Como formo parte de un experimento científico, te agradecería que te tomaras tu tiempo para responder a un cuestionario superbreve al final de la entrevista. Toca Habla para hacer tu pregunta y luego toca Enviar para enviármela.
2023.05.19;18:03:46;User;¿Hola, qué pasa?
2023.05.19;18:03:50;AI Doktor;Hola, ¿en qué puedo ayudarte?
2023.05.19;18:04:07;User;Hace tiempo mañana.
2023.05.19;18:04:11;AI Doktor;¿Estás experimentando algún tipo de malestar o dolor? ¿Estás preocupado por algo en particular?
2023.05.19;18:04:38;User;¿Puedo hacer?
2023.05.19;18:04:43;AI Doktor;¿A qué te refieres? ¿Puedes ser un poco más específico?
2023.05.19;18:04:54;User;Tengo dolor de mi cabeza.
2023.05.19;18:04:59;AI Doktor;Por favor, cuéntame con más detalle el dolor de cabeza que estás experimentando. ¿Es un dolor intenso? ¿Qué partes de tu cabeza están afectadas?
2023.05.19;18:05:19;User;sí el dolor es muy intenso y es en la frontera de mi cabeza
2023.05.19;18:05:26;AI Doktor;Intentaremos ayudarte. ¿Cuánto tiempo llevas sintiendo este dolor de cabeza? ¿Has probado algún medicamento para aliviarlo? ¿Has cambiado tu dieta o tu estilo de vida?
